Sample,Ax,Ay,Az,Gx,Gy,Gz
0,296,3773,4030,-654,1957,-1337
1,-1290,-2354,-6902,546,1832,-417
2,-5600,-1963,106,-1309,515,-1530
3,-1116,-40,-7281,1252,1314,-1553
4,527,7205,-6147,-68,-110,1381
5,-4941,6376,-7546,-1372,-1038,506
6,-4616,-7320,-1653,-1001,-264,-195
7,3899,-6872,5481,-705,228,1312
8,1475,3240,-6073,-1194,295,-1188
9,-3574,-3835,5753,1446,-1726,-621
10,-7417,-5790,3098,1607,-1501,-1181
11,-1099,-2869,-2098,608,-1144,-1472
12,-8000,-1972,5399,-1203,-1751,110
13,1468,-3904,-2138,-68,74,-727
14,3089,-5538,2858,1518,-609,-1062
15,-5511,-1839,4933,1822,1308,1214
16,1451,1391,7830,-1679,-429,1797
17,3462,5576,3528,-16,-500,1981
18,1781,-380,-7556,-306,-1852,640
19,3606,-6455,3221,560,219,1727
20,6771,-7931,4236,-785,1585,781
21,1656,2402,-4622,-1514,-1092,-1361
22,-7103,-372,-2295,-725,1330,-189
23,-6916,-1409,-595,490,723,-350
24,3068,-5243,853,-347,-1760,-1375
25,-1470,-4183,1198,-1398,-813,-1473
26,3618,-623,3266,1951,-1386,1533
27,-349,2114,2210,-1811,-1705,-178
28,-4120,-5588,4305,-1283,-838,-246
29,-1354,4511,-5518,327,839,1745
30,7754,7912,-1877,126,975,625
31,-6707,1106,-5267,-454,526,1596
32,-6718,3970,-3779,1845,-595,-769
33,5386,3135,3932,335,1814,1390
34,4005,2861,4542,-1654,1753,1893
35,-5719,7118,-2211,1859,5,-705
36,1017,-640,-1213,859,1459,-845
37,-4634,2952,2877,-951,501,-1993
38,6797,-893,-5661,1028,428,1654
39,534,5772,1974,-697,-1249,-253
40,-1521,-5738,833,881,1153,1732
41,-6659,501,-5665,1682,1854,175
42,-5918,5941,7939,513,473,-805
43,349,-4824,2835,-1471,-1291,-1653
44,-124,1660,1169,-1835,481,-986
45,5083,-1330,-3997,280,108,-431
46,832,-4422,3982,315,1677,-1560
47,-7199,-6142,1786,826,-1470,-1897
48,-33,5692,-1955,1119,820,236
49,-423,-5137,-7288,1667,420,-1028
50,-5936,2708,4422,1417,807,885
51,1966,-2714,-7821,-509,1876,1249
52,3129,1372,674,1455,257,-1761
53,5858,-6359,6022,-1199,-475,-662
54,-7175,7241,-2302,-678,936,574
55,4046,1913,6656,1718,-361,-1840
56,2617,4911,5428,-1463,-571,-253
57,7749,-7294,-2551,818,1647,1000
58,491,-2049,-2064,642,-1350,-120
59,-1675,-7530,-967,1405,665,235
60,-3196,5316,-6988,-977,-1716,-1697
61,4477,-343,-1881,1280,-1530,1415
62,3430,4234,-7443,-1792,514,-356
63,6744,6166,1236,-1227,1581,-1420
64,-1890,1593,-6341,-1161,1131,1713
65,-3403,7940,5270,-1756,-1159,-911
66,5953,-2292,-4606,719,-1023,481
67,6297,5669,-7599,603,1502,-306
68,4249,13,82,650,1555,-187
69,-3588,7273,3448,472,-789,986
70,2096,-2188,-3307,-1498,-1919,-1685
71,-7170,3667,1286,627,1205,-1402
72,3215,5269,-4603,122,1883,-535
73,1632,-5030,-4213,580,-727,-1919
74,7306,6796,3273,-952,813,1070
75,-2131,5854,4896,-1256,478,-1273
76,-1179,2978,-1332,881,-1093,876
77,4770,2126,5810,-7,-1992,-477
78,5248,6428,6336,-673,1410,1665
79,1328,-6738,-5748,581,1763,-708
80,-1097,-1168,-5701,1979,-812,208
81,5930,-7506,-1367,405,-120,1983
82,3446,-7171,-3497,1938,-1713,-53
83,3943,-2215,7492,-232,-1796,1228
84,4892,-6655,1878,-502,-1834,134
85,-4781,-5784,7566,-505,-1171,766
86,4074,-2950,7561,884,1303,-1555
87,1112,389,-73,1626,-510,-547
88,4442,-7817,7891,877,1834,1655
89,-4541,-6750,7474,-104,-817,-1427
90,-4645,-7834,5329,-1766,360,-459
91,-7796,2636,-2725,-256,281,-1850
92,-4348,3190,4761,-29,269,-820
93,6643,-1311,-7306,-216,-551,733
94,-6364,2076,6571,-1137,-1720,-452
95,-4383,-579,-2350,594,-1521,658
96,-615,5002,-5573,-1795,-1366,238
97,-5320,-3034,-3360,-510,-318,-477
98,-5026,-6316,3839,28,-1747,-1580
99,2406,-6775,-4332,-1579,-74,1597
100,-3528,3312,-1595,-842,-1843,1917
101,1561,-7415,-5887,1611,1768,879
102,194,-157,-5263,-33,-745,-1459
103,1906,-5182,-1267,-697,645,-1789
104,-6064,-5039,-2704,309,-1852,-770
105,-3775,-2227,-588,-275,476,1491
106,700,7967,-5780,953,1817,-112
107,390,-2555,38,351,315,-1335
108,-1733,1420,1283,-26,-1854,1698
109,-6445,2322,3747,31,-821,1485
110,-4907,4831,3224,1171,29,1731
111,-5996,-4314,-4241,-225,1879,-1913
112,-6762,6849,3813,-1679,815,-932
113,-5854,-1646,805,781,-664,576
114,-2841,4301,764,1591,1119,-1492
115,5276,-1558,1771,161,-208,-4
116,-3817,-4330,7490,1642,1048,1364
117,5968,1930,-1603,1737,-1751,1825
118,210,5841,1368,-995,1425,-944
119,-2220,7010,5572,-299,-1610,-721
120,4380,-5235,2258,-1571,1160,-151
121,-7982,-2791,-6273,-694,1721,1160
122,7111,2302,1020,-1197,155,358
123,-7061,7408,3377,-275,769,-603
124,-3035,-3199,-25,1741,1602,-713
125,-2010,2552,-5976,-542,1201,-1258
126,5723,-1552,379,-358,908,1031
127,3082,-5124,-7712,741,579,156
