Sample,Ax,Ay,Az,Gx,Gy,Gz
0,1608,6669,2075,1749,-16,-1253
1,1886,7505,3943,-1025,1821,69
2,-1135,-7588,-7624,1184,735,287
3,3706,-1009,1228,178,698,-558
4,2016,6669,-3078,678,-1122,336
5,2860,-6425,2778,738,1860,-902
6,5028,-5067,4674,505,-1317,1494
7,1925,-5105,7804,-1122,385,1067
8,24,-930,-4137,-1752,-746,1961
9,6509,-877,7101,-1677,764,285
10,5255,-6761,1064,-1126,-1774,167
11,-5136,-4318,7210,411,-1651,-26
12,4537,-3252,2851,964,669,553
13,4435,6465,-6204,387,-1985,-1314
14,4449,-4615,-1590,-166,830,-1622
15,1945,-3942,4939,-1939,862,-620
16,-887,876,1744,-427,1389,892
17,5906,-3677,325,647,1563,-731
18,716,5175,-7346,-1958,1432,-1643
19,-7011,6536,-1246,1632,-987,-282
20,2268,-4135,5546,64,-868,1033
21,-5529,-1847,-7647,1923,-4,-375
22,6176,-2710,4727,-1152,-1944,1007
23,-7142,-2018,6399,-1837,1896,-1644
24,-3110,6708,-2174,1855,-603,-462
25,7288,-1937,-6889,-1192,-802,1598
26,-1182,7742,-2210,-1228,1241,-1393
27,-202,6698,7685,340,-1081,1799
28,5132,-6278,461,750,1986,553
29,-4833,83,58,-1269,-257,1618
30,-4146,4869,5490,-377,-1876,-1952
31,4808,6196,-4760,-1544,1324,499
32,-5934,-3985,-3718,530,1545,876
33,5005,-7954,7563,-910,1321,469
34,7585,-6885,-5228,1362,362,-47
35,6999,-4584,578,599,68,1793
36,6414,4952,5179,1258,-1961,-1379
37,6587,-1135,-5522,-160,-229,752
38,-3973,-1686,-4849,143,1661,244
39,5233,273,-5876,-296,939,1629
40,-5949,4687,-2671,1960,-1123,847
41,-3925,-2992,-6991,-1881,924,1317
42,5250,-3675,4489,-1529,-594,1882
43,-6063,3002,759,890,-1115,-394
44,-2203,5595,4565,1586,-214,430
45,1624,-6439,-5641,1978,1150,1339
46,-3981,2666,4789,-679,1421,-1492
47,5032,7093,916,1876,1090,1613
48,2578,7570,2087,-1765,711,-419
49,-4768,3158,-2608,-215,-654,1475
50,7088,4902,6929,-1797,432,851
51,-1259,-3926,-3739,-12,1053,-1343
52,-2328,1941,-1801,1541,-634,-1128
53,-6860,3553,2832,1316,1055,694
54,-4976,-3681,-2747,-1304,894,-541
55,7516,7386,1614,-1442,-128,-1801
56,4454,-5366,3950,3,-1132,17
57,7947,5512,-3933,-1057,1442,1478
58,-5175,-4474,-7949,-908,780,1749
59,-5587,902,7366,-166,21,580
60,2909,-5842,5998,1428,-105,1083
61,-1820,5280,-7897,1668,-1530,-1354
62,4407,4088,-7137,-204,-1537,-1394
63,-6461,-4794,1984,800,1756,96
64,-1928,-2975,-224,595,1499,1620
65,-699,2174,-4001,526,1261,-727
66,-1613,7627,-1732,-1078,-263,-1253
67,-5641,6541,3014,1711,-886,-1560
68,-2547,5011,619,1742,-1425,945
69,-5176,-6122,-7935,-171,1368,-1355
70,3570,-6926,6700,-1770,-218,-1452
71,-305,7782,6489,-1187,1745,-280
72,-4401,6935,4644,1112,-1396,598
73,5842,3090,5210,-686,1534,-402
74,-6079,820,7020,-441,-1060,349
75,3955,-336,4249,-1662,1310,-1283
76,6165,-2645,-5771,1130,-565,-1848
77,-6201,614,1507,-883,296,1062
78,-2847,4211,-386,-1374,-1335,1199
79,83,3742,-7792,-1612,293,-1206
80,3471,-6320,1147,-1397,-467,-1776
81,-4389,4402,-1458,1243,547,-1087
82,3210,-6264,-4809,869,1117,1651
83,4368,4301,6441,1455,608,1864
84,4402,-839,1066,306,173,-673
85,-6100,4221,5273,724,-1740,1483
86,-93,-6468,2161,545,278,-1384
87,-6710,-6368,-5135,-1035,83,43
88,4848,-4638,-3044,1952,1770,800
89,576,2345,7604,1431,265,1607
90,-7041,-1979,-2978,1003,1079,-753
91,-5751,7521,-7966,-1224,1330,-37
92,2262,1253,-1859,-903,-1987,1159
93,874,-109,-748,1286,-156,-795
94,4519,-2775,4528,1982,-941,-1198
95,-7944,-4078,-3753,806,1806,-8
96,3932,5805,4973,1264,1631,544
97,5812,4417,-2939,1119,-398,-474
98,-3810,-5532,2202,90,510,-1625
99,-1980,4392,5499,137,-41,1411
100,-5096,-2125,-1960,1244,251,1017
101,3185,5660,7082,719,1908,1165
102,1864,-3085,-7379,-1352,1367,-1780
103,281,5328,-7581,478,290,-694
104,-1251,-7449,5886,276,-640,1696
105,4144,1746,-2500,-1261,-100,1739
106,1896,-6772,-3746,-676,-763,299
107,-7895,4385,-2199,1331,1880,-199
108,4119,7757,-4730,-955,373,-415
109,7279,3134,4977,780,85,-221
110,3751,5891,114,-1546,-284,753
111,-3839,314,-7223,-739,-1879,-777
112,6361,-2266,865,1824,-1713,1029
113,6881,5627,-928,728,-645,449
114,5837,135,566,358,1958,-1471
115,-6128,-87,2171,-867,-854,1260
116,-3233,4349,4739,1735,-137,-905
117,-3863,5496,1234,-1787,-564,-1168
118,3398,3200,-1850,-1237,694,629
119,-7609,-4834,-606,-1372,1900,1727
120,2623,-817,1383,790,-1275,-1106
121,-2033,-7360,6488,1714,53,642
122,5033,-3203,3947,1421,-1232,177
123,3235,4933,-4863,1222,1600,-1647
124,-7900,4850,4358,1470,1479,-1630
125,-5587,7029,995,-1998,-743,565
126,4793,-5154,-4856,-1413,-1541,-1189
127,7762,-7197,6836,-1230,-472,4
128,1235,-4254,6778,1488,1892,806
129,5091,6320,-589,1000,-326,-59
130,-4976,-644,-3006,-924,1949,1775
131,-3321,3779,6143,-900,1822,1162
132,-410,-7192,5507,1384,-236,-1530
